測鎢,潠備,�梪�,ヶ彶攫歎(啋),羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),傖蝠踢塗(啋),梀視(啋),梀視盟(%),歙歎(啋),遙忒薹(%),A嘖霜籵庈硉(啋),B嘖霜籵庈硉(啋),軞庈硉(啋),A嘖霜籵嘖掛(嘖),B嘖霜籵嘖掛(嘖),軞嘖掛(嘖),庈荅薹,庈噱薹,庈种薹,庈珋薹,
600876.SH,醫栠產薛,1995-10-31,N/A,11.7591,11.8291,10.5117,10.5257,25375100,394819000,N/A,N/A,15.5593,63.4378,600800000,N/A,10514000000,40000000,0,700000000,40.4745,6.637,11.0807,N/A,
600876.SH,醫栠產薛,1995-11-01,10.5257,10.2103,10.2314,9.1241,9.1802,9017000,123750392,-1.3455,-12.783,13.7241,22.5425,524000000,N/A,9170000000,40000000,0,700000000,35.3007,5.7886,9.6642,N/A,
600876.SH,醫栠產薛,1995-11-02,9.1802,9.1241,9.6567,9.1101,9.3834,3714600,49585353,0.2032,2.2137,13.3488,9.2865,535600000,N/A,9373000000,40000000,0,700000000,36.0821,5.9167,9.8782,N/A,
600876.SH,醫栠產薛,1995-11-03,9.3834,9.4114,9.6007,9.3554,9.3904,2056400,27832440,0.007,0.0747,13.5345,5.141,536000000,N/A,9380000000,40000000,0,700000000,36.1091,5.9212,9.8856,N/A,
600876.SH,醫栠產薛,1995-11-06,9.3904,9.4605,9.5166,9.1662,9.2012,2052900,27052118,-0.1892,-2.0149,13.1775,5.1322,525200000,N/A,9191000000,40000000,0,700000000,35.3815,5.8019,9.6864,N/A,
600876.SH,醫栠產薛,1995-11-07,9.2012,9.1662,9.2152,8.7948,8.8648,2683200,34097196,-0.3364,-3.6558,12.7077,6.708,506000000,N/A,8855000000,40000000,0,700000000,34.0881,5.5898,9.3323,N/A,
600876.SH,醫栠產薛,1995-11-08,8.8648,8.7247,8.7247,8.2482,8.3042,3189400,38274151,-0.5606,-6.3241,12.0004,7.9735,474000000,N/A,8295000000,40000000,0,700000000,31.9323,5.2363,8.7421,N/A,
600876.SH,醫栠產薛,1995-11-09,8.3042,8.101,8.5425,7.9749,8.1641,1807500,21024632,-0.1402,-1.6878,11.6319,4.5187,466000000,N/A,8155000000,40000000,0,700000000,31.3934,5.1479,8.5945,N/A,
600876.SH,醫栠產薛,1995-11-10,8.1641,8.143,8.4023,8.115,8.2692,1578700,18710624,0.1051,1.2876,11.8519,3.9468,472000000,N/A,8260000000,40000000,0,700000000,31.7976,5.2142,8.7052,N/A,
600876.SH,醫栠產薛,1995-11-13,8.2692,8.1991,8.2341,7.7296,7.7296,1647800,18636968,-0.5396,-6.5254,11.3102,4.1195,441200000,N/A,7721000000,40000000,0,700000000,29.7226,4.8739,8.1371,N/A,
600876.SH,醫栠產薛,1995-11-14,7.7296,7.6735,7.9188,7.6245,7.9048,1443800,16090218,0.1752,2.2665,11.1444,3.6095,451200000,N/A,7896000000,40000000,0,700000000,30.3963,4.9844,8.3216,N/A,
600876.SH,醫栠產薛,1995-11-15,7.9048,7.9188,7.9188,7.2881,7.6945,2170100,23163274,-0.2102,-2.6596,10.6738,5.4253,439200000,N/A,7686000000,40000000,0,700000000,29.5879,4.8518,8.1003,N/A,
600876.SH,醫栠產薛,1995-11-16,7.6945,7.6525,7.9118,7.4703,7.4843,2539500,27845835,-0.2102,-2.7322,10.9651,6.3487,427200000,N/A,7476000000,40000000,0,700000000,28.7795,4.7193,7.8789,N/A,
600876.SH,醫栠產薛,1995-11-17,7.4843,7.3512,7.4563,7.2881,7.3582,1273899,13383921,-0.1261,-1.6854,10.5063,3.1847,420000000,N/A,7350000000,40000000,0,700000000,28.2944,4.6397,7.7461,N/A,
600876.SH,醫栠產薛,1995-11-20,7.3582,7.218,7.2951,7.1339,7.2811,768600,7937073,-0.0771,-1.0476,10.3267,1.9215,415600000,N/A,7273000000,40000000,0,700000000,27.998,4.5911,7.665,N/A,
600876.SH,醫栠產薛,1995-11-21,7.2811,7.2951,7.4983,7.225,7.4072,842300,8790239,0.1261,1.7324,10.436,2.1058,422800000,N/A,7399000000,40000000,0,700000000,28.4831,4.6707,7.7978,N/A,
600876.SH,醫栠產薛,1995-11-22,7.4072,7.4633,7.5474,7.3021,7.3231,1456100,15433122,-0.0841,-1.1353,10.5989,3.6402,418000000,N/A,7315000000,40000000,0,700000000,28.1597,4.6176,7.7093,N/A,
600876.SH,醫栠產薛,1995-11-23,7.3231,7.3652,7.8277,7.3652,7.5614,4138500,45220406,0.2383,3.2536,10.9268,10.3462,431600000,N/A,7553000000,40000000,0,700000000,29.0759,4.7679,7.9601,N/A,
600876.SH,醫栠產薛,1995-11-24,7.5614,7.5684,7.6315,7.3231,7.4282,1304900,13969433,-0.1331,-1.7609,10.7054,3.2622,424000000,N/A,7420000000,40000000,0,700000000,28.5639,4.6839,7.8199,N/A,
600876.SH,醫栠產薛,1995-11-27,7.4282,7.4493,7.5123,7.218,7.2741,799300,8336896,-0.1542,-2.0755,10.4302,1.9983,415200000,N/A,7266000000,40000000,0,700000000,27.9711,4.5867,7.6576,N/A,
600876.SH,醫栠產薛,1995-11-28,7.2741,7.232,7.3442,6.9377,7.2741,887800,9008831,0,0,10.1474,2.2195,415200000,N/A,7266000000,40000000,0,700000000,27.9711,4.5867,7.6576,N/A,
600876.SH,醫栠產薛,1995-11-29,7.2741,7.3021,7.3161,6.9727,7.0078,826800,8370094,-0.2663,-3.6609,10.1235,2.067,400000000,N/A,7000000000,40000000,0,700000000,26.9471,4.4188,7.3773,N/A,
600876.SH,醫栠產薛,1995-11-30,7.0078,6.9377,7.1339,6.8116,6.9377,874300,8649844,-0.0701,-1,9.8935,2.1857,396000000,N/A,6930000000,40000000,0,700000000,26.6776,4.3746,7.3035,N/A,
600876.SH,醫栠產薛,1995-12-01,6.9377,6.6574,6.8186,6.6223,6.6574,815500,7804169,-0.2803,-4.0404,9.5698,2.0387,380000000,N/A,6650000000,40000000,0,700000000,25.5997,4.1978,7.0084,N/A,
600876.SH,醫栠產薛,1995-12-04,6.6574,6.6223,6.6574,6.5733,6.5873,335600,3162461,-0.0701,-1.0526,9.4233,0.839,376000000,N/A,6580000000,40000000,0,700000000,25.3303,4.1537,6.9346,N/A,
600876.SH,醫栠產薛,1995-12-05,6.5873,6.6223,6.7555,6.5873,6.6924,423500,4013145,0.1051,1.5957,9.4761,1.0587,382000000,N/A,6685000000,40000000,0,700000000,25.7345,4.2199,7.0453,N/A,
600876.SH,醫栠產薛,1995-12-06,6.6924,6.6854,6.6854,6.279,6.335,633000,5789786,-0.3574,-5.3403,9.1466,1.5825,361600000,N/A,6328000000,40000000,0,700000000,24.3602,3.9946,6.6691,N/A,
600876.SH,醫栠產薛,1995-12-07,6.335,6.293,6.3771,6.2089,6.328,600600,5364492,-0.007,-0.1106,8.9319,1.5015,361200000,N/A,6321000000,40000000,0,700000000,24.3332,3.9902,6.6617,N/A,
600876.SH,醫栠產薛,1995-12-08,6.328,6.307,6.5733,6.3,6.335,934400,8571208,0.007,0.1107,9.173,2.336,361600000,N/A,6328000000,40000000,0,700000000,24.3602,3.9946,6.6691,N/A,
600876.SH,醫栠產薛,1995-12-11,6.335,6.3631,6.4612,5.9566,5.9566,777600,6894232,-0.3784,-5.9735,8.866,1.944,340000000,N/A,5950000000,40000000,0,700000000,22.905,3.756,6.2707,N/A,
600876.SH,醫栠產薛,1995-12-12,5.9566,5.8865,5.9496,5.6623,5.8725,1080700,8901849,-0.0841,-1.4118,8.2371,2.7018,335200000,N/A,5866000000,40000000,0,700000000,22.5817,3.7029,6.1822,N/A,
600876.SH,醫栠產薛,1995-12-13,5.8725,5.8585,6.1178,5.6763,5.6763,858000,7209634,-0.1962,-3.3413,8.4028,2.145,324000000,N/A,5670000000,40000000,0,700000000,21.8271,3.5792,5.9756,N/A,
600876.SH,醫栠產薛,1995-12-14,5.6763,5.6763,5.7324,5.6062,5.6413,524900,4245762,-0.035,-0.6173,8.0887,1.3123,322000000,N/A,5635000000,40000000,0,700000000,21.6924,3.5571,5.9387,N/A,
600876.SH,醫栠產薛,1995-12-15,5.6413,5.6062,5.6062,5.3259,5.3399,640800,4981475,-0.3013,-5.3416,7.7738,1.602,304800000,N/A,5334000000,40000000,0,700000000,20.5337,3.3671,5.6215,N/A,
600876.SH,醫栠產薛,1995-12-18,5.3399,5.2558,5.382,5.1507,5.2348,614800,4622241,-0.1051,-1.9685,7.5183,1.537,298800000,N/A,5229000000,40000000,0,700000000,20.1295,3.3008,5.5108,N/A,
600876.SH,醫栠產薛,1995-12-19,5.2348,5.1507,5.3469,5.1507,5.2839,515800,3894397,0.0491,0.9371,7.5502,1.2895,301600000,N/A,5278000000,40000000,0,700000000,20.3181,3.3318,5.5625,N/A,
600876.SH,醫栠產薛,1995-12-20,5.2839,5.2909,5.403,5.2909,5.396,618800,4741659,0.1121,2.122,7.6627,1.547,308000000,N/A,5390000000,40000000,0,700000000,20.7493,3.4025,5.6805,N/A,
600876.SH,醫栠產薛,1995-12-21,5.396,5.445,5.5151,5.3399,5.3539,492700,3823082,-0.042,-0.7792,7.7595,1.2318,305600000,N/A,5348000000,40000000,0,700000000,20.5876,3.3759,5.6362,N/A,
600876.SH,醫栠產薛,1995-12-22,5.3539,5.2839,5.375,5.2558,5.2628,325500,2457869,-0.0911,-1.7016,7.5511,0.8138,300400000,N/A,5257000000,40000000,0,700000000,20.2373,3.3185,5.5403,N/A,
600876.SH,醫栠產薛,1995-12-25,5.2628,5.1858,5.2208,5.0806,5.1157,348900,2559856,-0.1472,-2.7963,7.3369,0.8722,292000000,N/A,5110000000,40000000,0,700000000,19.6714,3.2257,5.3854,N/A,
600876.SH,醫栠產薛,1995-12-26,5.1157,5.0456,5.1297,5.0176,5.0316,286600,2071879,-0.0841,-1.6438,7.2292,0.7165,287200000,N/A,5026000000,40000000,0,700000000,19.348,3.1727,5.2969,N/A,
600876.SH,醫栠產薛,1995-12-27,5.0316,5.0176,5.2348,5.0106,5.0876,423000,3049278,0.0561,1.1142,7.2087,1.0575,290400000,N/A,5082000000,40000000,0,700000000,19.5636,3.208,5.3559,N/A,
600876.SH,醫栠產薛,1995-12-28,5.0876,5.0526,5.0806,4.8214,4.8354,444100,3131626,-0.2523,-4.9587,7.0516,1.1102,276000000,N/A,4830000000,40000000,0,700000000,18.5935,3.049,5.0903,N/A,
600876.SH,醫栠產薛,1995-12-29,4.8354,4.8704,4.9755,4.8494,4.8704,429500,3002797,0.035,0.7246,6.9914,1.0737,278000000,N/A,4865000000,40000000,0,700000000,18.7282,3.0711,5.1272,N/A,
600876.SH,醫栠產薛,1996-01-02,4.8704,4.7653,4.7653,4.6742,4.6952,242100,1627413,-0.1752,-3.5971,6.7221,0.6052,268000000,N/A,4690000000,40000000,0,700000000,19.1739,2.35,4.9452,N/A,
600876.SH,醫栠產薛,1996-01-03,4.6952,4.6812,4.8354,4.6321,4.7583,357500,2420807,0.0631,1.3433,6.7715,0.8937,271600000,N/A,4753000000,40000000,0,700000000,19.4315,2.3816,5.0116,N/A,
600876.SH,醫栠產薛,1996-01-04,4.7583,4.7092,4.9054,4.5761,4.9054,342800,2357965,0.1472,3.0928,6.8785,0.857,280000000,N/A,4900000000,40000000,0,700000000,20.0324,2.4552,5.1666,N/A,
600876.SH,醫栠產薛,1996-01-05,4.9054,4.9405,5.0316,4.5901,4.5901,658300,4544214,-0.3153,-6.4286,6.903,1.6458,262000000,N/A,4585000000,40000000,0,700000000,18.7446,2.2974,4.8345,N/A,
600876.SH,醫栠產薛,1996-01-08,4.5901,4.5551,4.6812,4.4569,4.6251,335900,2189956,0.035,0.7634,6.5197,0.8397,264000000,N/A,4620000000,40000000,0,700000000,18.8877,2.3149,4.8714,N/A,
